test_case,ns,nt,Genetics_z,Genetics_t,Greedy_z,Greedy_t,DP_z,DP_t,IP_z,IP_t
0,4,6,3,0,2,0,3,0,3,1
1,7,15,7,1,5,0,7,7,7,2
2,7,15,2,1,0,0,3,1,3,2
3,10,15,5,1,5,0,5,0,5,11
4,7,10,3,0,3,0,3,0,3,5
5,7,10,4,0,4,0,4,0,4,5
6,10,15,8,1,7,0,0,0,8,20
7,12,20,6,1,3,0,0,0,6,21
8,12,20,3,1,3,0,0,0,0,0
9,15,10,2,1,2,0,0,0,0,0
10,15,30,7,1,5,0,0,0,0,0
11,15,30,7,5,4,0,0,0,0,0
12,20,40,10,2,8,0,0,0,0,0
13,20,40,5,3,3,0,0,0,0,0
14,25,50,6,2,5,0,0,0,0,0
15,25,50,7,2,5,0,0,0,0,0
16,30,60,14,3,8,0,0,0,0,0
17,30,60,18,3,4,0,0,0,0,0
18,35,70,24,4,14,0,0,0,0,0
19,40,75,24,4,18,0,0,0,0,0
20,45,90,26,5,10,0,0,0,0,0
21,50,100,22,4,21,0,0,0,0,0
22,10,150,10,3,10,0,0,0,0,0
